"team","id"
"Atlanta Hawks",1
"Boston Celtics",2
"Chicago Bulls",3
"Cleveland Cavaliers",4
"Dallas Mavericks",5
"Denver Nuggets",6
"Detroit Pistons",7
"Golden State Warriors",8
"Houston Rockets",9
"Indiana Pacers",10
"Los Angeles Clippers",11
"Los Angeles Lakers",12
"Milwaukee Bucks",13
"New Jersey Nets",14
"New York Knicks",15
"Philadelphia 76ers",16
"Phoenix Suns",17
"Portland Trail Blazers",18
"Sacramento Kings",19
"San Antonio Spurs",20
"Seattle SuperSonics",21
"Utah Jazz",22
"Washington Bullets",23
