"Date","HTeam","HScore","ATeam","AScore","hID","aID","win"
1987-11-06,"Washington Bullets",97,"Atlanta Hawks",114,23,1,1
1987-11-06,"Milwaukee Bucks",108,"Boston Celtics",125,13,2,2
1987-11-06,"Utah Jazz",93,"Dallas Mavericks",95,22,5,5
1987-11-06,"Los Angeles Clippers",93,"Denver Nuggets",139,11,6,6
1987-11-06,"New York Knicks",99,"Detroit Pistons",110,15,7,7
1987-11-06,"San Antonio Spurs",102,"Houston Rockets",108,20,9,9
1987-11-06,"Seattle SuperSonics",109,"Los Angeles Lakers",113,21,12,12
1987-11-06,"Cleveland Cavaliers",114,"New Jersey Nets",108,4,14,4
1987-11-06,"Indiana Pacers",95,"Philadelphia 76ers",108,10,16,16
1987-11-06,"Phoenix Suns",104,"Portland Trail Blazers",118,17,18,18
1987-11-06,"Golden State Warriors",106,"Sacramento Kings",134,8,19,19
1987-11-07,"Cleveland Cavaliers",105,"Atlanta Hawks",113,4,1,1
1987-11-07,"Philadelphia 76ers",94,"Chicago Bulls",104,16,3,3
1987-11-07,"Denver Nuggets",103,"Golden State Warriors",99,6,8,6
1987-11-07,"New York Knicks",95,"Indiana Pacers",108,15,10,10
1987-11-07,"Portland Trail Blazers",124,"Los Angeles Clippers",99,18,11,18
1987-11-07,"Detroit Pistons",105,"Milwaukee Bucks",119,7,13,13
1987-11-07,"Dallas Mavericks",106,"San Antonio Spurs",130,5,20,20
1987-11-07,"Phoenix Suns",96,"Seattle SuperSonics",112,17,21,21
1987-11-07,"Sacramento Kings",100,"Utah Jazz",121,19,22,22
1987-11-07,"Boston Celtics",140,"Washington Bullets",139,2,23,2
1987-11-08,"Houston Rockets",92,"Los Angeles Lakers",101,9,12,12
1987-11-09,"Boston Celtics",96,"New York Knicks",87,2,15,2
1987-11-10,"Chicago Bulls",105,"Atlanta Hawks",95,3,1,3
1987-11-10,"Detroit Pistons",118,"Indiana Pacers",121,7,10,10
1987-11-10,"Utah Jazz",88,"Los Angeles Clippers",100,22,11,11
1987-11-10,"Washington Bullets",100,"Milwaukee Bucks",115,23,13,13
1987-11-10,"Golden State Warriors",109,"Phoenix Suns",123,8,17,17
1987-11-10,"Houston Rockets",118,"Portland Trail Blazers",111,9,18,9
1987-11-10,"Denver Nuggets",123,"Sacramento Kings",134,6,19,19
1987-11-10,"Los Angeles Lakers",133,"San Antonio Spurs",124,12,20,12
1987-11-10,"Dallas Mavericks",117,"Seattle SuperSonics",101,5,21,5
1987-11-11,"Indiana Pacers",106,"Boston Celtics",120,10,2,2
1987-11-11,"Milwaukee Bucks",109,"Cleveland Cavaliers",101,13,4,13
1987-11-11,"Phoenix Suns",115,"Golden State Warriors",130,17,8,8
1987-11-11,"Chicago Bulls",105,"New Jersey Nets",96,3,14,3
1987-11-11,"Atlanta Hawks",94,"New York Knicks",93,1,15,1
1987-11-11,"Dallas Mavericks",92,"Utah Jazz",121,5,22,22
1987-11-12,"Portland Trail Blazers",113,"Denver Nuggets",126,18,6,6
1987-11-12,"Los Angeles Clippers",82,"Los Angeles Lakers",111,11,12,12
1987-11-12,"Houston Rockets",116,"Sacramento Kings",114,9,19,9
1987-11-12,"Seattle SuperSonics",118,"San Antonio Spurs",123,21,20,20
1987-11-13,"Cleveland Cavaliers",114,"Boston Celtics",128,4,2,2
1987-11-13,"New Jersey Nets",85,"Chicago Bulls",103,14,3,3
1987-11-13,"Seattle SuperSonics",103,"Dallas Mavericks",95,21,5,21
1987-11-13,"Golden State Warriors",94,"Los Angeles Clippers",97,8,11,11
1987-11-13,"Detroit Pistons",113,"Philadelphia 76ers",94,7,16,7
1987-11-13,"Phoenix Suns",92,"Utah Jazz",109,17,22,22
1987-11-13,"New York Knicks",101,"Washington Bullets",108,15,23,23
1987-11-14,"Philadelphia 76ers",83,"Atlanta Hawks",104,16,1,1
1987-11-14,"Indiana Pacers",111,"Chicago Bulls",110,10,3,10
1987-11-14,"Detroit Pistons",128,"Cleveland Cavaliers",113,7,4,7
1987-11-14,"Portland Trail Blazers",116,"Dallas Mavericks",127,18,5,5
1987-11-14,"Sacramento Kings",109,"Denver Nuggets",130,19,6,6
1987-11-14,"Los Angeles Lakers",118,"Golden State Warriors",110,12,8,12
1987-11-14,"Utah Jazz",93,"Houston Rockets",101,22,9,9
1987-11-14,"Milwaukee Bucks",89,"New York Knicks",93,13,15,15
1987-11-14,"San Antonio Spurs",113,"Phoenix Suns",124,20,17,17
1987-11-15,"Seattle SuperSonics",106,"Houston Rockets",108,21,9,9
1987-11-15,"Boston Celtics",103,"Indiana Pacers",98,2,10,2
1987-11-15,"San Antonio Spurs",130,"Los Angeles Lakers",147,20,12,12
1987-11-15,"Atlanta Hawks",103,"Milwaukee Bucks",112,1,13,13
1987-11-15,"Washington Bullets",113,"New Jersey Nets",109,23,14,23
1987-11-17,"Washington Bullets",101,"Chicago Bulls",105,23,3,3
1987-11-17,"Boston Celtics",88,"Cleveland Cavaliers",109,2,4,4
1987-11-17,"Portland Trail Blazers",115,"Los Angeles Lakers",142,18,12,12
1987-11-17,"Golden State Warriors",108,"Milwaukee Bucks",120,8,13,13
1987-11-17,"Houston Rockets",111,"New Jersey Nets",114,9,14,14
1987-11-17,"Indiana Pacers",126,"Sacramento Kings",111,10,19,10
1987-11-17,"Los Angeles Clippers",121,"San Antonio Spurs",122,11,20,20
1987-11-17,"Denver Nuggets",110,"Utah Jazz",120,6,22,22
1987-11-18,"Golden State Warriors",92,"Atlanta Hawks",95,8,1,1
1987-11-18,"New York Knicks",109,"Boston Celtics",111,15,2,2
1987-11-18,"Los Angeles Clippers",87,"Dallas Mavericks",97,11,5,5
1987-11-18,"Indiana Pacers",117,"Denver Nuggets",106,10,6,10
1987-11-18,"Philadelphia 76ers",113,"Detroit Pistons",109,16,7,16
1987-11-18,"Utah Jazz",80,"Phoenix Suns",90,22,17,17
1987-11-18,"Portland Trail Blazers",114,"Seattle SuperSonics",120,18,21,21
1987-11-18,"Chicago Bulls",84,"Washington Bullets",82,3,23,3
1987-11-19,"Houston Rockets",105,"Cleveland Cavaliers",97,9,4,9
1987-11-19,"New York Knicks",107,"New Jersey Nets",108,15,14,14
1987-11-19,"Milwaukee Bucks",117,"Sacramento Kings",113,13,19,13
1987-11-20,"Atlanta Hawks",92,"Chicago Bulls",94,1,3,3
1987-11-20,"San Antonio Spurs",142,"Denver Nuggets",156,20,6,6
