"Date","HTeam","HScore","ATeam","AScore","hID","aID","win"
1984-10-26,"Washington Bullets",93,"Chicago Bulls",109,23,3,3
1984-10-26,"Utah Jazz",94,"Seattle SuperSonics",102,22,21,21
1984-10-26,"Cleveland Cavaliers",101,"Philadelphia 76ers",111,4,17,17
1984-10-26,"Atlanta Hawks",119,"New Jersey Nets",104,1,15,1
1984-10-26,"Phoenix Suns",122,"Golden State Warriors",114,18,8,18
1984-10-26,"Boston Celtics",130,"Detroit Pistons",123,2,7,2
1984-10-27,"Los Angeles Clippers",103,"Utah Jazz",94,12,22,12
1984-10-27,"Los Angeles Lakers",112,"San Antonio Spurs",113,13,20,20
1984-10-27,"Detroit Pistons",118,"New York Knicks",137,7,16,16
1984-10-27,"Chicago Bulls",106,"Milwaukee Bucks",108,3,14,14
1984-10-27,"Portland Trail Blazers",140,"Kansas City Kings",119,19,11,19
1984-10-27,"Washington Bullets",104,"Indiana Pacers",102,23,10,23
1984-10-27,"Golden State Warriors",121,"Denver Nuggets",125,8,6,6
1984-10-27,"Houston Rockets",121,"Dallas Mavericks",111,9,5,9
1984-10-27,"New Jersey Nets",131,"Cleveland Cavaliers",106,15,4,15
1984-10-27,"Philadelphia 76ers",111,"Atlanta Hawks",108,17,1,17
1984-10-28,"Phoenix Suns",102,"Seattle SuperSonics",87,18,21,18
1984-10-28,"Los Angeles Lakers",96,"Dallas Mavericks",107,13,5,5
1984-10-29,"Milwaukee Bucks",110,"Chicago Bulls",116,14,3,3
1984-10-30,"Atlanta Hawks",104,"Washington Bullets",119,1,23,23
1984-10-30,"New York Knicks",111,"Utah Jazz",117,16,22,22
1984-10-30,"Denver Nuggets",118,"San Antonio Spurs",126,6,20,20
1984-10-30,"Seattle SuperSonics",83,"Portland Trail Blazers",115,21,19,19
1984-10-30,"Los Angeles Clippers",96,"Phoenix Suns",99,12,18,18
1984-10-30,"Philadelphia 76ers",118,"New Jersey Nets",96,17,15,17
1984-10-30,"Golden State Warriors",110,"Los Angeles Lakers",144,8,13,13
1984-10-30,"Chicago Bulls",109,"Kansas City Kings",104,3,11,3
1984-10-30,"Dallas Mavericks",84,"Houston Rockets",106,5,9,9
1984-10-30,"Cleveland Cavaliers",107,"Detroit Pistons",124,4,7,7
1984-10-31,"New Jersey Nets",105,"Boston Celtics",116,15,2,2
1984-10-31,"Dallas Mavericks",101,"Indiana Pacers",100,5,10,5
1984-10-31,"Washington Bullets",79,"Milwaukee Bucks",105,23,14,14
1984-11-01,"Detroit Pistons",118,"Atlanta Hawks",114,7,1,7
1984-11-01,"Chicago Bulls",113,"Denver Nuggets",129,3,6,6
1984-11-01,"San Antonio Spurs",123,"Golden State Warriors",108,20,8,20
1984-11-01,"Houston Rockets",109,"Kansas City Kings",106,9,11,9
1984-11-01,"New York Knicks",105,"Los Angeles Clippers",107,16,12,12
1984-11-01,"Portland Trail Blazers",130,"Phoenix Suns",139,19,18,18
1984-11-01,"Los Angeles Lakers",103,"Seattle SuperSonics",105,13,21,21
1984-11-02,"Detroit Pistons",116,"Boston Celtics",127,7,2,2
1984-11-02,"Indiana Pacers",116,"Cleveland Cavaliers",109,10,4,10
1984-11-02,"San Antonio Spurs",100,"Los Angeles Lakers",119,20,13,13
1984-11-02,"Dallas Mavericks",103,"Philadelphia 76ers",107,5,17,17
1984-11-02,"Seattle SuperSonics",101,"Utah Jazz",107,21,22,22
1984-11-02,"Milwaukee Bucks",102,"Washington Bullets",96,14,23,14
1984-11-03,"Washington Bullets",107,"Atlanta Hawks",127,23,1,1
1984-11-03,"Phoenix Suns",105,"Dallas Mavericks",93,18,5,18
1984-11-03,"Utah Jazz",107,"Golden State Warriors",112,22,8,8
1984-11-03,"New York Knicks",93,"Houston Rockets",105,16,9,9
1984-11-03,"Denver Nuggets",128,"Kansas City Kings",114,6,11,6
1984-11-03,"Portland Trail Blazers",131,"Los Angeles Clippers",112,19,12,19
1984-11-03,"Cleveland Cavaliers",88,"Milwaukee Bucks",117,4,14,14
1984-11-03,"Indiana Pacers",117,"New Jersey Nets",118,10,15,15
1984-11-04,"Portland Trail Blazers",116,"Los Angeles Lakers",124,19,13,13
1984-11-04,"New York Knicks",130,"San Antonio Spurs",131,16,20,20
1984-11-05,"Detroit Pistons",107,"Cleveland Cavaliers",98,7,4,7
1984-11-05,"Denver Nuggets",104,"Los Angeles Clippers",107,6,12,12
1984-11-06,"New York Knicks",104,"Dallas Mavericks",107,16,5,5
1984-11-06,"Kansas City Kings",94,"Houston Rockets",108,11,9,9
1984-11-06,"Denver Nuggets",146,"Los Angeles Lakers",130,6,13,6
1984-11-06,"Phoenix Suns",99,"Portland Trail Blazers",116,18,19,19
1984-11-06,"Seattle SuperSonics",91,"San Antonio Spurs",99,21,20,20
1984-11-07,"Los Angeles Clippers",108,"Boston Celtics",135,12,2,2
1984-11-07,"Chicago Bulls",122,"Detroit Pistons",118,3,7,3
1984-11-07,"Atlanta Hawks",99,"Milwaukee Bucks",103,1,14,14
1984-11-07,"Washington Bullets",88,"New Jersey Nets",99,23,15,15
1984-11-07,"Indiana Pacers",113,"Philadelphia 76ers",134,10,17,17
1984-11-07,"San Antonio Spurs",124,"Utah Jazz",136,20,22,22
1984-11-08,"Atlanta Hawks",105,"Dallas Mavericks",112,1,5,5
1984-11-08,"Portland Trail Blazers",125,"Denver Nuggets",128,19,6,6
1984-11-08,"Los Angeles Lakers",106,"Golden State Warriors",122,13,8,8
1984-11-08,"Seattle SuperSonics",89,"Houston Rockets",99,21,9,9
1984-11-08,"Chicago Bulls",121,"New York Knicks",106,3,16,3
1984-11-08,"Cleveland Cavaliers",111,"Phoenix Suns",112,4,18,18
1984-11-08,"Los Angeles Clippers",88,"Washington Bullets",93,12,23,23
1984-11-09,"Philadelphia 76ers",119,"Boston Celtics",130,17,2,2
1984-11-09,"Indiana Pacers",105,"Milwaukee Bucks",122,10,14,14
1984-11-09,"Kansas City Kings",101,"New Jersey Nets",99,11,15,11
1984-11-09,"Los Angeles Lakers",130,"Portland Trail Blazers",126,13,19,13
1984-11-09,"Golden State Warriors",117,"Utah Jazz",125,8,22,22
1984-11-10,"Seattle SuperSonics",102,"Dallas Mavericks",106,21,5,5
1984-11-10,"Utah Jazz",135,"Denver Nuggets",147,22,6,6
1984-11-10,"Milwaukee Bucks",100,"Detroit Pistons",104,14,7,7
1984-11-10,"Los Angeles Clippers",92,"Houston Rockets",117,12,9,9
1984-11-10,"Chicago Bulls",118,"Indiana Pacers",116,3,10,3
1984-11-10,"Kansas City Kings",100,"New York Knicks",113,11,16,16
1984-11-10,"Atlanta Hawks",114,"Phoenix Suns",107,1,18,1
1984-11-10,"Cleveland Cavaliers",103,"San Antonio Spurs",127,4,20,20
1984-11-10,"Boston Celtics",95,"Washington Bullets",112,2,23,23
1984-11-11,"New Jersey Nets",111,"Los Angeles Lakers",121,15,13,13
1984-11-11,"Golden State Warriors",97,"Portland Trail Blazers",109,8,19,19
1984-11-12,"Boston Celtics",132,"Indiana Pacers",115,2,10,2
1984-11-12,"Dallas Mavericks",97,"Utah Jazz",123,5,22,22
1984-11-13,"Milwaukee Bucks",110,"Atlanta Hawks",99,14,1,14
1984-11-13,"San Antonio Spurs",117,"Chicago Bulls",120,20,3,3
1984-11-13,"Phoenix Suns",110,"Denver Nuggets",122,18,6,6
1984-11-13,"Cleveland Cavaliers",98,"Houston Rockets",106,4,9,9
1984-11-13,"New Jersey Nets",99,"Los Angeles Clippers",90,15,12,15
1984-11-13,"Washington Bullets",103,"New York Knicks",92,23,16,23
1984-11-13,"Dallas Mavericks",101,"Portland Trail Blazers",94,5,19,5
1984-11-13,"Golden State Warriors",102,"Seattle SuperSonics",109,8,21,21
1984-11-14,"New York Knicks",99,"Boston Celtics",115,16,2,2
1984-11-14,"Houston Rockets",117,"Indiana Pacers",125,9,10,10
1984-11-14,"Detroit Pistons",137,"Philadelphia 76ers",133,7,17,7
1984-11-14,"New Jersey Nets",86,"Phoenix Suns",98,15,18,18
1984-11-14,"San Antonio Spurs",106,"Washington Bullets",125,20,23,23
1984-11-15,"Cleveland Cavaliers",102,"Atlanta Hawks",99,4,1,4
1984-11-15,"Boston Celtics",125,"Chicago Bulls",105,2,3,2
1984-11-15,"Dallas Mavericks",112,"Golden State Warriors",117,5,8,8
1984-11-15,"Milwaukee Bucks",103,"Los Angeles Clippers",90,14,12,14
1984-11-15,"Utah Jazz",120,"Portland Trail Blazers",129,22,19,19
1984-11-16,"Houston Rockets",102,"Denver Nuggets",119,9,6,6
1984-11-16,"Philadelphia 76ers",101,"Detroit Pistons",90,17,7,17
1984-11-16,"San Antonio Spurs",117,"Indiana Pacers",128,20,10,10
1984-11-16,"Kansas City Kings",116,"Los Angeles Lakers",128,11,13,13
1984-11-16,"Milwaukee Bucks",106,"Phoenix Suns",118,14,18,18
1984-11-16,"Portland Trail Blazers",89,"Seattle SuperSonics",91,19,21,21
1984-11-16,"New York Knicks",104,"Washington Bullets",118,16,23,23
1984-11-17,"Indiana Pacers",108,"Atlanta Hawks",118,10,1,1
1984-11-17,"Philadelphia 76ers",109,"Chicago Bulls",100,17,3,17
1984-11-17,"Detroit Pistons",124,"Dallas Mavericks",110,7,5,7
1984-11-17,"New Jersey Nets",131,"Golden State Warriors",114,15,8,15
1984-11-17,"San Antonio Spurs",133,"Houston Rockets",141,20,9,9
1984-11-17,"Kansas City Kings",113,"Los Angeles Clippers",121,11,12,12
1984-11-17,"Cleveland Cavaliers",88,"New York Knicks",112,4,16,16
1984-11-17,"Phoenix Suns",94,"Utah Jazz",108,18,22,22
1984-11-18,"Milwaukee Bucks",89,"Los Angeles Lakers",96,14,13,13
1984-11-18,"Los Angeles Clippers",105,"Portland Trail Blazers",113,12,19,19
1984-11-18,"New Jersey Nets",102,"Seattle SuperSonics",97,15,21,15
1984-11-19,"Indiana Pacers",137,"Chicago Bulls",120,10,3,10
1984-11-20,"Milwaukee Bucks",108,"Dallas Mavericks",109,14,5,5
1984-11-20,"Detroit Pistons",117,"Houston Rockets",123,7,9,9
1984-11-20,"Utah Jazz",122,"Kansas City Kings",129,22,11,11
1984-11-20,"Phoenix Suns",108,"Los Angeles Lakers",130,18,13,13
1984-11-20,"Golden State Warriors",101,"New York Knicks",106,8,16,16
1984-11-20,"Washington Bullets",120,"Philadelphia 76ers",105,23,17,23
1984-11-20,"New Jersey Nets",107,"Portland Trail Blazers",117,15,19,19
1984-11-20,"Denver Nuggets",124,"Seattle SuperSonics",114,6,21,6
1984-11-21,"Utah Jazz",90,"Atlanta Hawks",122,22,1,1
1984-11-21,"Golden State Warriors",91,"Boston Celtics",135,8,2,2
1984-11-21,"New York Knicks",109,"Cleveland Cavaliers",101,16,4,16
1984-11-21,"Philadelphia 76ers",112,"Indiana Pacers",107,17,10,17
1984-11-21,"Denver Nuggets",112,"Los Angeles Clippers",106,6,12,6
1984-11-21,"Chicago Bulls",98,"Milwaukee Bucks",108,3,14,14
1984-11-21,"Los Angeles Lakers",102,"Phoenix Suns",97,13,18,13
1984-11-21,"Detroit Pistons",114,"San Antonio Spurs",101,7,20,7
1984-11-21,"Kansas City Kings",92,"Washington Bullets",97,11,23,23
1984-11-23,"Washington Bullets",110,"Boston Celtics",118,23,2,2
1984-11-23,"Golden State Warriors",107,"Cleveland Cavaliers",106,8,4,8
1984-11-23,"New York Knicks",120,"Detroit Pistons",97,16,7,16
1984-11-23,"Kansas City Kings",122,"Indiana Pacers",105,11,10,11
1984-11-23,"Philadelphia 76ers",119,"Phoenix Suns",117,17,18,17
1984-11-23,"Chicago Bulls",113,"Seattle SuperSonics",94,3,21,3
1984-11-23,"Houston Rockets",98,"Utah Jazz",111,9,22,22
1984-11-24,"New Jersey Nets",99,"Atlanta Hawks",101,15,1,1
1984-11-24,"Houston Rockets",95,"Dallas Mavericks",113,9,5,5
1984-11-24,"Philadelphia 76ers",110,"Denver Nuggets",114,17,6,6
1984-11-24,"Boston Celtics",135,"Kansas City Kings",124,2,11,2
1984-11-24,"Los Angeles Lakers",108,"Los Angeles Clippers",103,13,12,13
1984-11-24,"Golden State Warriors",97,"Milwaukee Bucks",103,8,14,14
1984-11-24,"Indiana Pacers",100,"New York Knicks",119,10,16,16
1984-11-24,"Chicago Bulls",131,"Portland Trail Blazers",141,3,19,19
