"Date","HTeam","HScore","ATeam","AScore","hID","aID","win"
2014-10-28,"Orlando Magic",84,"New Orleans Pelicans",101,22,19,19
2014-10-28,"Dallas Mavericks",100,"San Antonio Spurs",101,7,27,27
2014-10-28,"Houston Rockets",108,"Los Angeles Lakers",90,11,14,11
2014-10-29,"Milwaukee Bucks",106,"Charlotte Hornets",108,17,4,4
2014-10-29,"Philadelphia 76ers",91,"Indiana Pacers",103,23,12,12
2014-10-29,"Atlanta Hawks",102,"Toronto Raptors",109,1,28,28
2014-10-29,"Washington Wizards",95,"Miami Heat",107,30,16,16
2014-10-29,"Brooklyn Nets",105,"Boston Celtics",121,3,2,2
2014-10-29,"Minnesota Timberwolves",101,"Memphis Grizzlies",105,18,15,15
2014-10-29,"Chicago Bulls",104,"New York Knicks",80,5,20,5
2014-10-29,"Detroit Pistons",79,"Denver Nuggets",89,9,8,8
2014-10-29,"Houston Rockets",104,"Utah Jazz",93,11,29,11
2014-10-29,"Golden State Warriors",95,"Sacramento Kings",77,10,26,10
2014-10-29,"Los Angeles Lakers",99,"Phoenix Suns",119,14,24,24
2014-10-29,"Oklahoma City Thunder",89,"Portland Trail Blazers",106,21,25,25
2014-10-30,"Washington Wizards",105,"Orlando Magic",98,30,22,30
2014-10-30,"New York Knicks",95,"Cleveland Cavaliers",90,20,6,20
2014-10-30,"Detroit Pistons",91,"Minnesota Timberwolves",97,9,18,18
2014-10-30,"Utah Jazz",102,"Dallas Mavericks",120,29,7,7
2014-10-30,"Oklahoma City Thunder",90,"Los Angeles Clippers",93,21,13,13
2014-10-31,"Memphis Grizzlies",97,"Indiana Pacers",89,15,12,15
2014-10-31,"Cleveland Cavaliers",114,"Chicago Bulls",108,6,5,6
2014-10-31,"Philadelphia 76ers",81,"Milwaukee Bucks",93,23,17,17
2014-10-31,"San Antonio Spurs",89,"Phoenix Suns",94,27,24,24
2014-10-31,"Portland Trail Blazers",94,"Sacramento Kings",103,25,26,26
