"Date","HTeam","HScore","ATeam","AScore","hID","aID","win"
2015-10-27,"Detroit Pistons",106,"Atlanta Hawks",94,9,1,9
2015-10-27,"Cleveland Cavaliers",95,"Chicago Bulls",97,6,5,5
2015-10-27,"New Orleans Pelicans",95,"Golden State Warriors",111,19,10,10
2015-10-28,"Washington Wizards",88,"Orlando Magic",87,30,22,30
2015-10-28,"Indiana Pacers",99,"Toronto Raptors",106,12,28,28
2015-10-28,"Charlotte Hornets",94,"Miami Heat",104,4,16,16
2015-10-28,"Chicago Bulls",115,"Brooklyn Nets",100,5,3,5
2015-10-28,"Philadelphia 76ers",95,"Boston Celtics",112,23,2,2
2015-10-28,"Utah Jazz",87,"Detroit Pistons",92,29,9,9
2015-10-28,"Denver Nuggets",105,"Houston Rockets",85,8,11,8
2015-10-28,"San Antonio Spurs",106,"Oklahoma City Thunder",112,27,21,21
2015-10-28,"New York Knicks",122,"Milwaukee Bucks",97,20,17,20
2015-10-28,"Cleveland Cavaliers",106,"Memphis Grizzlies",76,6,15,6
2015-10-28,"Dallas Mavericks",111,"Phoenix Suns",95,7,24,7
2015-10-28,"New Orleans Pelicans",94,"Portland Trail Blazers",112,19,25,25
2015-10-28,"Los Angeles Clippers",111,"Sacramento Kings",104,13,26,13
2015-10-28,"Minnesota Timberwolves",112,"Los Angeles Lakers",111,18,14,18
2015-10-29,"Memphis Grizzlies",112,"Indiana Pacers",103,15,12,15
2015-10-29,"Atlanta Hawks",112,"New York Knicks",101,1,20,1
2015-10-29,"Dallas Mavericks",88,"Los Angeles Clippers",104,7,13,13
2015-10-30,"Utah Jazz",99,"Philadelphia 76ers",71,29,23,29
2015-10-30,"Oklahoma City Thunder",139,"Orlando Magic",136,21,22,21
2015-10-30,"Miami Heat",92,"Cleveland Cavaliers",102,16,6,6
2015-10-30,"Chicago Bulls",94,"Detroit Pistons",98,5,9,9
2015-10-30,"Toronto Raptors",113,"Boston Celtics",103,28,2,28
2015-10-30,"Washington Wizards",118,"Milwaukee Bucks",113,30,17,30
2015-10-30,"Charlotte Hornets",94,"Atlanta Hawks",97,4,1,1
2015-10-30,"Brooklyn Nets",75,"San Antonio Spurs",102,3,27,27
2015-10-30,"Minnesota Timberwolves",95,"Denver Nuggets",78,18,8,18
2015-10-30,"Golden State Warriors",112,"Houston Rockets",92,10,11,10
2015-10-30,"Los Angeles Lakers",114,"Sacramento Kings",132,14,26,26
2015-10-30,"Portland Trail Blazers",92,"Phoenix Suns",110,25,24,24
2015-10-31,"Utah Jazz",97,"Indiana Pacers",76,29,12,29
2015-10-31,"New York Knicks",117,"Washington Wizards",110,20,30,20
2015-10-31,"Golden State Warriors",134,"New Orleans Pelicans",120,10,19,10
2015-10-31,"Brooklyn Nets",91,"Memphis Grizzlies",101,3,15,15
2015-10-31,"Phoenix Suns",101,"Portland Trail Blazers",90,24,25,24
2015-10-31,"Sacramento Kings",109,"Los Angeles Clippers",114,26,13,13
2015-11-01,"Atlanta Hawks",94,"Charlotte Hornets",92,1,4,1
2015-11-01,"San Antonio Spurs",95,"Boston Celtics",87,27,2,27
2015-11-01,"Houston Rockets",89,"Miami Heat",109,11,16,16
2015-11-01,"Milwaukee Bucks",87,"Toronto Raptors",106,17,28,28
2015-11-01,"Orlando Magic",87,"Chicago Bulls",92,22,5,5
2015-11-01,"Denver Nuggets",93,"Oklahoma City Thunder",117,8,21,21
2015-11-01,"Dallas Mavericks",103,"Los Angeles Lakers",93,7,14,7
2015-11-02,"Cleveland Cavaliers",107,"Philadelphia 76ers",100,6,23,6
2015-11-02,"Milwaukee Bucks",103,"Brooklyn Nets",96,17,3,17
2015-11-02,"San Antonio Spurs",94,"New York Knicks",84,27,20,27
2015-11-02,"Oklahoma City Thunder",105,"Houston Rockets",110,21,11,11
2015-11-02,"Portland Trail Blazers",106,"Minnesota Timberwolves",101,25,18,25
2015-11-02,"Memphis Grizzlies",69,"Golden State Warriors",119,15,10,10
2015-11-02,"Phoenix Suns",96,"Los Angeles Clippers",102,24,13,13
2015-11-03,"Chicago Bulls",105,"Charlotte Hornets",130,5,4,4
2015-11-03,"Indiana Pacers",94,"Detroit Pistons",82,12,9,12
2015-11-03,"Atlanta Hawks",98,"Miami Heat",92,1,16,1
2015-11-03,"Orlando Magic",103,"New Orleans Pelicans",94,22,19,22
2015-11-03,"Toronto Raptors",102,"Dallas Mavericks",91,28,7,28
2015-11-03,"Memphis Grizzlies",103,"Sacramento Kings",89,15,26,15
2015-11-03,"Denver Nuggets",120,"Los Angeles Lakers",109,8,14,8
2015-11-04,"Boston Celtics",98,"Indiana Pacers",100,2,12,12
2015-11-04,"San Antonio Spurs",99,"Washington Wizards",102,27,30,30
2015-11-04,"Brooklyn Nets",87,"Atlanta Hawks",101,3,1,1
2015-11-04,"New York Knicks",86,"Cleveland Cavaliers",96,20,6,6
2015-11-04,"Orlando Magic",114,"Houston Rockets",119,22,11,11
2015-11-04,"Philadelphia 76ers",87,"Milwaukee Bucks",91,23,17,17
2015-11-04,"Toronto Raptors",103,"Oklahoma City Thunder",98,28,21,28
2015-11-04,"Sacramento Kings",97,"Phoenix Suns",118,26,24,24
2015-11-04,"Portland Trail Blazers",108,"Utah Jazz",92,25,29,25
2015-11-04,"Los Angeles Clippers",108,"Golden State Warriors",112,13,10,10
2015-11-05,"Oklahoma City Thunder",98,"Chicago Bulls",104,21,5,5
2015-11-05,"Miami Heat",96,"Minnesota Timberwolves",84,16,18,16
2015-11-05,"Charlotte Hornets",108,"Dallas Mavericks",94,4,7,4
2015-11-05,"Utah Jazz",96,"Denver Nuggets",84,29,8,29
2015-11-05,"Memphis Grizzlies",96,"Portland Trail Blazers",115,15,25,25
2015-11-06,"Toronto Raptors",87,"Orlando Magic",92,28,22,22
2015-11-06,"Washington Wizards",98,"Boston Celtics",118,30,2,2
2015-11-06,"Los Angeles Lakers",104,"Brooklyn Nets",98,14,3,14
2015-11-06,"Philadelphia 76ers",102,"Cleveland Cavaliers",108,23,6,6
2015-11-06,"Milwaukee Bucks",99,"New York Knicks",92,17,20,17
2015-11-06,"Miami Heat",87,"Indiana Pacers",90,16,12,12
2015-11-06,"Atlanta Hawks",121,"New Orleans Pelicans",115,1,19,1
2015-11-06,"Detroit Pistons",100,"Phoenix Suns",92,9,24,9
2015-11-06,"Denver Nuggets",104,"Golden State Warriors",119,8,10,10
2015-11-06,"Houston Rockets",116,"Sacramento Kings",110,11,26,11
2015-11-07,"Minnesota Timberwolves",102,"Chicago Bulls",93,18,5,18
2015-11-07,"Orlando Magic",105,"Philadelphia 76ers",97,22,23,22
2015-11-07,"Washington Wizards",99,"Atlanta Hawks",114,30,1,1
2015-11-07,"New Orleans Pelicans",98,"Dallas Mavericks",107,19,7,7
2015-11-07,"Brooklyn Nets",86,"Milwaukee Bucks",94,3,17,17
2015-11-07,"Charlotte Hornets",94,"San Antonio Spurs",114,4,27,27
2015-11-07,"Memphis Grizzlies",79,"Utah Jazz",89,15,29,29
2015-11-07,"Golden State Warriors",103,"Sacramento Kings",94,10,26,10
