"Date","HTeam","HScore","ATeam","AScore","hID","aID","win"
1988-11-04,"New York Knicks",115,"Boston Celtics",122,17,2,2
1988-11-04,"Cleveland Cavaliers",133,"Charlotte Hornets",93,5,3,5
1988-11-04,"Detroit Pistons",107,"Chicago Bulls",94,8,4,8
1988-11-04,"Los Angeles Lakers",116,"Dallas Mavericks",113,13,6,13
1988-11-04,"Houston Rockets",117,"Denver Nuggets",120,10,7,7
1988-11-04,"Milwaukee Bucks",117,"Indiana Pacers",103,15,11,15
1988-11-04,"Atlanta Hawks",113,"New Jersey Nets",105,1,16,1
1988-11-04,"Los Angeles Clippers",110,"Philadelphia 76ers",129,12,18,18
1988-11-04,"Phoenix Suns",105,"Portland Trail Blazers",120,19,20,20
1988-11-04,"Seattle SuperSonics",104,"Utah Jazz",97,23,24,23
1988-11-05,"Charlotte Hornets",85,"Detroit Pistons",94,3,8,8
1988-11-05,"Phoenix Suns",104,"Golden State Warriors",117,19,9,9
1988-11-05,"Dallas Mavericks",114,"Houston Rockets",113,6,10,6
1988-11-05,"Cleveland Cavaliers",105,"Indiana Pacers",99,5,11,5
1988-11-05,"Los Angeles Clippers",111,"Miami Heat",91,12,14,12
1988-11-05,"Atlanta Hawks",107,"Milwaukee Bucks",94,1,15,1
1988-11-05,"New York Knicks",102,"New Jersey Nets",112,17,16,16
1988-11-05,"Boston Celtics",115,"Philadelphia 76ers",129,2,18,18
1988-11-05,"Sacramento Kings",103,"Portland Trail Blazers",121,21,20,20
1988-11-05,"Los Angeles Lakers",107,"San Antonio Spurs",122,13,22,22
1988-11-05,"Denver Nuggets",141,"Seattle SuperSonics",142,7,23,23
1988-11-05,"Chicago Bulls",111,"Washington Bullets",98,4,25,4
1988-11-08,"Indiana Pacers",107,"Atlanta Hawks",112,11,1,1
1988-11-08,"Los Angeles Clippers",105,"Charlotte Hornets",117,12,3,3
1988-11-08,"Miami Heat",88,"Dallas Mavericks",92,14,6,6
1988-11-08,"Los Angeles Lakers",114,"Golden State Warriors",102,13,9,13
1988-11-08,"San Antonio Spurs",102,"Houston Rockets",120,22,10,10
1988-11-08,"Washington Bullets",101,"New Jersey Nets",109,25,16,16
1988-11-08,"Chicago Bulls",117,"New York Knicks",126,4,17,17
1988-11-08,"Detroit Pistons",116,"Philadelphia 76ers",109,8,18,8
1988-11-08,"Seattle SuperSonics",97,"Sacramento Kings",75,23,21,23
1988-11-09,"Chicago Bulls",110,"Boston Celtics",104,4,2,4
1988-11-09,"Los Angeles Clippers",91,"Cleveland Cavaliers",108,12,5,5
1988-11-09,"Atlanta Hawks",95,"Detroit Pistons",101,1,8,8
1988-11-09,"Denver Nuggets",110,"Los Angeles Lakers",128,7,13,13
1988-11-09,"Philadelphia 76ers",103,"Milwaukee Bucks",114,18,15,15
1988-11-09,"Dallas Mavericks",103,"Phoenix Suns",111,6,19,19
1988-11-09,"Miami Heat",93,"San Antonio Spurs",117,14,22,22
1988-11-09,"Golden State Warriors",113,"Seattle SuperSonics",108,9,23,9
1988-11-09,"Sacramento Kings",81,"Utah Jazz",105,21,24,24
1988-11-09,"New York Knicks",117,"Washington Bullets",110,17,25,17
1988-11-10,"Portland Trail Blazers",115,"Denver Nuggets",135,20,7,7
1988-11-10,"Utah Jazz",99,"Houston Rockets",106,24,10,10
1988-11-11,"Detroit Pistons",116,"Boston Celtics",107,8,2,8
1988-11-11,"New Jersey Nets",85,"Chicago Bulls",97,16,4,4
1988-11-11,"San Antonio Spurs",102,"Dallas Mavericks",115,22,6,6
1988-11-11,"New York Knicks",121,"Indiana Pacers",120,17,11,17
1988-11-11,"Seattle SuperSonics",103,"Los Angeles Lakers",114,23,13,13
1988-11-11,"Houston Rockets",121,"Miami Heat",100,10,14,10
1988-11-11,"Atlanta Hawks",105,"Philadelphia 76ers",107,1,18,18
1988-11-11,"Golden State Warriors",103,"Phoenix Suns",141,9,19,19
1988-11-11,"Charlotte Hornets",87,"Washington Bullets",96,3,25,25
1988-11-12,"Charlotte Hornets",111,"Atlanta Hawks",132,3,1,1
1988-11-12,"Indiana Pacers",96,"Cleveland Cavaliers",121,11,5,5
1988-11-12,"Sacramento Kings",71,"Dallas Mavericks",111,21,6,6
1988-11-12,"Seattle SuperSonics",129,"Denver Nuggets",141,23,7,7
1988-11-12,"Portland Trail Blazers",100,"Golden State Warriors",107,20,9,9
1988-11-12,"Phoenix Suns",127,"Los Angeles Clippers",138,19,12,12
1988-11-12,"Boston Celtics",100,"Milwaukee Bucks",108,2,15,15
1988-11-12,"Chicago Bulls",91,"New Jersey Nets",97,4,16,16
1988-11-12,"Washington Bullets",101,"New York Knicks",111,25,17,17
1988-11-12,"Utah Jazz",105,"San Antonio Spurs",96,24,22,24
1988-11-13,"Sacramento Kings",127,"Houston Rockets",129,21,10,10
1988-11-13,"Denver Nuggets",143,"Portland Trail Blazers",132,7,20,7
1988-11-14,"Golden State Warriors",100,"New Jersey Nets",96,9,16,9
1988-11-15,"New Jersey Nets",106,"Charlotte Hornets",99,16,3,16
1988-11-15,"Philadelphia 76ers",107,"Chicago Bulls",120,18,4,4
1988-11-15,"Atlanta Hawks",97,"Cleveland Cavaliers",95,1,5,1
1988-11-15,"Detroit Pistons",108,"Dallas Mavericks",99,8,6,8
1988-11-15,"Los Angeles Lakers",148,"Denver Nuggets",146,13,7,13
1988-11-15,"New York Knicks",126,"Houston Rockets",121,17,10,17
1988-11-15,"Boston Celtics",84,"Miami Heat",65,2,14,2
1988-11-15,"Los Angeles Clippers",103,"Portland Trail Blazers",125,12,20,20
1988-11-15,"Phoenix Suns",119,"Sacramento Kings",89,19,21,19
1988-11-15,"Indiana Pacers",96,"Utah Jazz",108,11,24,24
1988-11-16,"Golden State Warriors",104,"Boston Celtics",107,9,2,2
1988-11-16,"Sacramento Kings",101,"Los Angeles Clippers",112,21,12,12
1988-11-16,"Chicago Bulls",110,"Philadelphia 76ers",123,4,18,18
1988-11-16,"Indiana Pacers",104,"Phoenix Suns",123,11,19,19
1988-11-16,"Detroit Pistons",94,"San Antonio Spurs",88,8,22,8
1988-11-17,"Charlotte Hornets",93,"Dallas Mavericks",105,3,6,6
1988-11-17,"San Antonio Spurs",112,"Denver Nuggets",139,22,7,7
1988-11-17,"Miami Heat",107,"Houston Rockets",113,14,10,10
1988-11-17,"New Jersey Nets",105,"Milwaukee Bucks",96,16,15,16
1988-11-17,"Los Angeles Lakers",98,"Seattle SuperSonics",101,13,23,23
1988-11-17,"Portland Trail Blazers",99,"Utah Jazz",123,20,24,24
1988-11-18,"Washington Bullets",108,"Boston Celtics",114,25,2,2
1988-11-18,"Atlanta Hawks",112,"Chicago Bulls",115,1,4,4
1988-11-18,"Indiana Pacers",110,"Los Angeles Clippers",113,11,12,12
1988-11-18,"Portland Trail Blazers",105,"Los Angeles Lakers",106,20,13,13
1988-11-18,"Golden State Warriors",123,"Miami Heat",117,9,14,9
1988-11-18,"Cleveland Cavaliers",95,"New Jersey Nets",94,5,16,5
1988-11-18,"New York Knicks",135,"Philadelphia 76ers",137,17,18,18
1988-11-18,"Detroit Pistons",121,"Phoenix Suns",105,8,19,8
1988-11-19,"Golden State Warriors",92,"Atlanta Hawks",111,9,1,1
1988-11-19,"Milwaukee Bucks",99,"Cleveland Cavaliers",106,15,5,5
1988-11-19,"Los Angeles Clippers",107,"Denver Nuggets",134,12,7,7
1988-11-19,"Detroit Pistons",98,"Houston Rockets",109,8,10,10
1988-11-19,"Philadelphia 76ers",122,"New York Knicks",141,18,17,17
1988-11-19,"Indiana Pacers",96,"Sacramento Kings",107,11,21,21
1988-11-19,"Charlotte Hornets",107,"San Antonio Spurs",105,3,22,3
1988-11-19,"Dallas Mavericks",112,"Seattle SuperSonics",106,6,23,6
1988-11-19,"Phoenix Suns",121,"Utah Jazz",134,19,24,24
1988-11-19,"Boston Celtics",104,"Washington Bullets",108,2,25,25
1988-11-20,"New Jersey Nets",106,"Portland Trail Blazers",117,16,20,20
1988-11-21,"Atlanta Hawks",113,"Houston Rockets",117,1,10,10
1988-11-21,"Los Angeles Clippers",98,"Utah Jazz",117,12,24,24
1988-11-22,"Cleveland Cavaliers",114,"Boston Celtics",102,5,2,5
1988-11-22,"Detroit Pistons",99,"Charlotte Hornets",93,8,3,8
1988-11-22,"New Jersey Nets",106,"Denver Nuggets",141,16,7,7
1988-11-22,"Milwaukee Bucks",91,"Indiana Pacers",105,15,11,11
1988-11-22,"Los Angeles Lakers",110,"New York Knicks",98,13,17,13
1988-11-22,"Chicago Bulls",114,"Sacramento Kings",98,4,21,4
1988-11-22,"Portland Trail Blazers",125,"Seattle SuperSonics",104,20,23,20
1988-11-22,"Philadelphia 76ers",130,"Washington Bullets",103,18,25,18
1988-11-23,"Charlotte Hornets",109,"Boston Celtics",114,3,2,2
1988-11-23,"Denver Nuggets",106,"Dallas Mavericks",125,7,6,6
1988-11-23,"New York Knicks",133,"Detroit Pistons",111,17,8,17
1988-11-23,"Seattle SuperSonics",93,"Golden State Warriors",85,23,9,23
1988-11-23,"Chicago Bulls",97,"Los Angeles Clippers",105,4,12,12
1988-11-23,"Los Angeles Lakers",138,"Miami Heat",91,13,14,13
1988-11-23,"Washington Bullets",102,"Milwaukee Bucks",124,25,15,15
1988-11-23,"Cleveland Cavaliers",91,"Philadelphia 76ers",104,5,18,18
1988-11-23,"New Jersey Nets",133,"Phoenix Suns",129,16,19,16
1988-11-23,"Atlanta Hawks",109,"San Antonio Spurs",119,1,22,22
1988-11-23,"Houston Rockets",108,"Utah Jazz",111,10,24,24
1988-11-25,"Milwaukee Bucks",96,"Boston Celtics",115,15,2,2
1988-11-25,"Atlanta Hawks",95,"Dallas Mavericks",100,1,6,6
1988-11-25,"Washington Bullets",106,"Indiana Pacers",101,25,11,25
1988-11-25,"New Jersey Nets",93,"Los Angeles Clippers",100,16,12,12
1988-11-25,"Charlotte Hornets",116,"Philadelphia 76ers",123,3,18,18
1988-11-25,"Seattle SuperSonics",105,"Phoenix Suns",110,23,19,19
1988-11-25,"Houston Rockets",94,"Portland Trail Blazers",111,10,20,20
1988-11-25,"San Antonio Spurs",95,"Utah Jazz",115,22,24,24
1988-11-26,"Boston Celtics",91,"Atlanta Hawks",104,2,1,1
1988-11-26,"Washington Bullets",120,"Charlotte Hornets",113,25,3,25
1988-11-26,"Utah Jazz",93,"Dallas Mavericks",113,24,6,6
1988-11-26,"Chicago Bulls",123,"Denver Nuggets",128,4,7,7
1988-11-26,"Los Angeles Lakers",99,"Detroit Pistons",102,13,8,8
1988-11-26,"Houston Rockets",119,"Golden State Warriors",109,10,9,10
1988-11-26,"Miami Heat",93,"Milwaukee Bucks",103,14,15,15
1988-11-26,"Cleveland Cavaliers",112,"New York Knicks",127,5,17,17
1988-11-26,"Indiana Pacers",114,"Philadelphia 76ers",122,11,18,18
1988-11-26,"New Jersey Nets",98,"Sacramento Kings",97,16,21,16
1988-11-26,"Phoenix Suns",104,"San Antonio Spurs",117,19,22,22
1988-11-27,"Miami Heat",80,"Cleveland Cavaliers",109,14,5,5
1988-11-27,"Golden State Warriors",94,"Portland Trail Blazers",109,9,20,20
1988-11-28,"Los Angeles Lakers",109,"Philadelphia 76ers",104,13,18,13
