"Date","HTeam","HScore","ATeam","AScore","hID","aID","win"
2016-10-25,"New York Knicks",88,"Cleveland Cavaliers",117,20,6,6
2016-10-25,"Utah Jazz",104,"Portland Trail Blazers",113,29,25,25
2016-10-25,"San Antonio Spurs",129,"Golden State Warriors",100,27,10,27
2016-10-26,"Dallas Mavericks",121,"Indiana Pacers",130,7,12,12
2016-10-26,"Miami Heat",108,"Orlando Magic",96,16,22,16
2016-10-26,"Brooklyn Nets",117,"Boston Celtics",122,3,2,2
2016-10-26,"Detroit Pistons",91,"Toronto Raptors",109,9,28,28
2016-10-26,"Denver Nuggets",107,"New Orleans Pelicans",102,8,19,8
2016-10-26,"Charlotte Hornets",107,"Milwaukee Bucks",96,4,17,4
2016-10-26,"Minnesota Timberwolves",98,"Memphis Grizzlies",102,18,15,15
2016-10-26,"Oklahoma City Thunder",103,"Philadelphia 76ers",97,21,23,21
2016-10-26,"Sacramento Kings",113,"Phoenix Suns",94,26,24,26
2016-10-26,"Houston Rockets",114,"Los Angeles Lakers",120,11,14,14
2016-10-27,"Washington Wizards",99,"Atlanta Hawks",114,30,1,1
2016-10-27,"Boston Celtics",99,"Chicago Bulls",105,2,5,5
2016-10-27,"Los Angeles Clippers",114,"Portland Trail Blazers",106,13,25,13
2016-10-27,"San Antonio Spurs",102,"Sacramento Kings",94,27,26,27
2016-10-28,"Cleveland Cavaliers",94,"Toronto Raptors",91,6,28,6
2016-10-28,"Indiana Pacers",94,"Brooklyn Nets",103,12,3,3
2016-10-28,"Orlando Magic",82,"Detroit Pistons",108,22,9,9
2016-10-28,"Phoenix Suns",110,"Oklahoma City Thunder",113,24,21,21
2016-10-28,"Charlotte Hornets",97,"Miami Heat",91,4,16,4
2016-10-28,"Houston Rockets",106,"Dallas Mavericks",98,11,7,11
2016-10-28,"Los Angeles Lakers",89,"Utah Jazz",96,14,29,29
2016-10-28,"Golden State Warriors",122,"New Orleans Pelicans",114,10,19,10
2016-10-29,"Atlanta Hawks",104,"Philadelphia 76ers",72,1,23,1
2016-10-29,"Boston Celtics",104,"Charlotte Hornets",98,2,4,2
2016-10-29,"Orlando Magic",99,"Cleveland Cavaliers",105,22,6,6
2016-10-29,"Memphis Grizzlies",104,"New York Knicks",111,15,20,20
2016-10-29,"New Orleans Pelicans",79,"San Antonio Spurs",98,19,27,27
2016-10-29,"Brooklyn Nets",108,"Milwaukee Bucks",110,3,17,17
2016-10-29,"Indiana Pacers",101,"Chicago Bulls",118,12,5,5
2016-10-29,"Portland Trail Blazers",115,"Denver Nuggets",113,25,8,25
2016-10-29,"Minnesota Timberwolves",103,"Sacramento Kings",106,18,26,26
2016-10-30,"Utah Jazz",75,"Los Angeles Clippers",88,29,13,13
2016-10-30,"Milwaukee Bucks",83,"Detroit Pistons",98,17,9,9
2016-10-30,"Golden State Warriors",106,"Phoenix Suns",100,10,24,10
2016-10-30,"San Antonio Spurs",106,"Miami Heat",99,27,16,27
2016-10-30,"Los Angeles Lakers",96,"Oklahoma City Thunder",113,14,21,21
2016-10-30,"Washington Wizards",103,"Memphis Grizzlies",112,30,15,15
2016-10-30,"Dallas Mavericks",92,"Houston Rockets",93,7,11,11
2016-10-31,"Sacramento Kings",95,"Atlanta Hawks",106,26,1,1
2016-10-31,"Chicago Bulls",118,"Brooklyn Nets",88,5,3,5
2016-10-31,"Denver Nuggets",102,"Toronto Raptors",105,8,28,28
2016-10-31,"Phoenix Suns",98,"Los Angeles Clippers",116,24,13,13
2016-11-01,"Houston Rockets",120,"Cleveland Cavaliers",128,11,6,6
2016-11-01,"Los Angeles Lakers",108,"Indiana Pacers",115,14,12,12
2016-11-01,"Orlando Magic",103,"Philadelphia 76ers",101,22,23,22
2016-11-01,"New York Knicks",89,"Detroit Pistons",102,20,9,9
2016-11-01,"Sacramento Kings",96,"Miami Heat",108,26,16,16
2016-11-01,"Memphis Grizzlies",80,"Minnesota Timberwolves",116,15,18,18
2016-11-01,"Milwaukee Bucks",117,"New Orleans Pelicans",113,17,19,17
2016-11-01,"Utah Jazz",106,"San Antonio Spurs",91,29,27,29
2016-11-01,"Golden State Warriors",127,"Portland Trail Blazers",104,10,25,10
2016-11-02,"Philadelphia 76ers",93,"Charlotte Hornets",109,23,4,4
2016-11-02,"Toronto Raptors",113,"Washington Wizards",103,28,30,28
2016-11-02,"Los Angeles Lakers",123,"Atlanta Hawks",116,14,1,14
2016-11-02,"Detroit Pistons",101,"Brooklyn Nets",109,9,3,3
2016-11-02,"Houston Rockets",118,"New York Knicks",99,11,20,11
2016-11-02,"Chicago Bulls",100,"Boston Celtics",107,5,2,2
2016-11-02,"New Orleans Pelicans",83,"Memphis Grizzlies",89,19,15,15
2016-11-02,"Dallas Mavericks",81,"Utah Jazz",97,7,29,29
2016-11-02,"Portland Trail Blazers",115,"Phoenix Suns",118,25,24,24
2016-11-02,"Oklahoma City Thunder",85,"Los Angeles Clippers",83,21,13,21
2016-11-03,"Sacramento Kings",94,"Orlando Magic",102,26,22,22
2016-11-03,"Boston Celtics",122,"Cleveland Cavaliers",128,2,6,6
2016-11-03,"Indiana Pacers",107,"Milwaukee Bucks",125,12,17,17
2016-11-03,"Denver Nuggets",102,"Minnesota Timberwolves",99,8,18,8
2016-11-03,"Oklahoma City Thunder",96,"Golden State Warriors",122,21,10,10
2016-11-04,"Atlanta Hawks",92,"Washington Wizards",95,1,30,30
2016-11-04,"Charlotte Hornets",99,"Brooklyn Nets",95,4,3,4
2016-11-04,"Miami Heat",87,"Toronto Raptors",96,16,28,28
2016-11-04,"New York Knicks",117,"Chicago Bulls",104,20,5,20
2016-11-04,"Los Angeles Clippers",99,"Memphis Grizzlies",88,13,15,13
2016-11-04,"Phoenix Suns",112,"New Orleans Pelicans",111,24,19,24
2016-11-04,"Portland Trail Blazers",105,"Dallas Mavericks",95,25,7,25
2016-11-04,"San Antonio Spurs",100,"Utah Jazz",86,27,29,27
2016-11-04,"Golden State Warriors",97,"Los Angeles Lakers",117,10,14,14
2016-11-05,"Minnesota Timberwolves",92,"Oklahoma City Thunder",112,18,21,21
2016-11-05,"Denver Nuggets",86,"Detroit Pistons",103,8,9,9
2016-11-05,"Chicago Bulls",94,"Indiana Pacers",111,5,12,12
2016-11-05,"Washington Wizards",86,"Orlando Magic",88,30,22,22
2016-11-05,"Cleveland Cavaliers",102,"Philadelphia 76ers",101,6,23,6
2016-11-05,"Houston Rockets",97,"Atlanta Hawks",112,11,1,1
2016-11-05,"Sacramento Kings",91,"Milwaukee Bucks",117,26,17,17
2016-11-05,"Los Angeles Clippers",116,"San Antonio Spurs",92,13,27,13
2016-11-06,"Utah Jazz",114,"New York Knicks",109,29,20,29
2016-11-06,"Portland Trail Blazers",100,"Memphis Grizzlies",94,25,15,25
2016-11-06,"Sacramento Kings",96,"Toronto Raptors",91,26,28,26
2016-11-06,"Milwaukee Bucks",75,"Dallas Mavericks",86,17,7,7
2016-11-06,"Denver Nuggets",123,"Boston Celtics",107,8,2,8
2016-11-06,"Phoenix Suns",108,"Los Angeles Lakers",119,24,14,14
2016-11-07,"Indiana Pacers",100,"Charlotte Hornets",122,12,4,4
2016-11-07,"Utah Jazz",109,"Philadelphia 76ers",84,29,23,29
2016-11-07,"Houston Rockets",114,"Washington Wizards",106,11,30,11
2016-11-07,"Orlando Magic",80,"Chicago Bulls",112,22,5,5
2016-11-07,"Miami Heat",85,"Oklahoma City Thunder",97,16,21,21
2016-11-07,"New Orleans Pelicans",106,"Golden State Warriors",116,19,10,10
2016-11-07,"Detroit Pistons",82,"Los Angeles Clippers",114,9,13,13
2016-11-08,"Atlanta Hawks",110,"Cleveland Cavaliers",106,1,6,1
2016-11-08,"Minnesota Timberwolves",110,"Brooklyn Nets",119,18,3,3
2016-11-08,"Denver Nuggets",107,"Memphis Grizzlies",108,8,15,15
2016-11-08,"Phoenix Suns",121,"Portland Trail Blazers",124,24,25,25
2016-11-08,"Dallas Mavericks",109,"Los Angeles Lakers",97,7,14,7
2016-11-08,"New Orleans Pelicans",94,"Sacramento Kings",102,19,26,26
2016-11-09,"Utah Jazz",98,"Charlotte Hornets",104,29,4,4
2016-11-09,"Philadelphia 76ers",115,"Indiana Pacers",122,23,12,12
2016-11-09,"Brooklyn Nets",96,"New York Knicks",110,3,20,20
2016-11-09,"Minnesota Timberwolves",123,"Orlando Magic",107,18,22,18
2016-11-09,"Boston Celtics",93,"Washington Wizards",118,2,30,30
2016-11-09,"Chicago Bulls",107,"Atlanta Hawks",115,5,1,1
2016-11-09,"Toronto Raptors",112,"Oklahoma City Thunder",102,28,21,28
2016-11-09,"Detroit Pistons",100,"Phoenix Suns",107,9,24,24
2016-11-09,"Houston Rockets",101,"San Antonio Spurs",99,11,27,11
2016-11-09,"Dallas Mavericks",95,"Golden State Warriors",116,7,10,10
2016-11-09,"Portland Trail Blazers",80,"Los Angeles Clippers",111,25,13,13
2016-11-10,"Chicago Bulls",98,"Miami Heat",95,5,16,5
2016-11-10,"New Orleans Pelicans",112,"Milwaukee Bucks",106,19,17,19
2016-11-10,"Golden State Warriors",125,"Denver Nuggets",101,10,8,10
2016-11-10,"Los Angeles Lakers",101,"Sacramento Kings",91,14,26,14
2016-11-11,"Toronto Raptors",113,"Charlotte Hornets",111,28,4,28
2016-11-11,"Utah Jazz",87,"Orlando Magic",74,29,22,29
2016-11-11,"Indiana Pacers",105,"Philadelphia 76ers",109,12,23,23
2016-11-11,"Cleveland Cavaliers",105,"Washington Wizards",94,6,30,6
2016-11-11,"New York Knicks",87,"Boston Celtics",115,20,2,2
2016-11-11,"Los Angeles Clippers",110,"Oklahoma City Thunder",108,13,21,13
2016-11-11,"Detroit Pistons",86,"San Antonio Spurs",96,9,27,27
2016-11-11,"Sacramento Kings",120,"Portland Trail Blazers",122,26,25,25
2016-11-12,"Boston Celtics",105,"Indiana Pacers",99,2,12,2
2016-11-12,"Los Angeles Lakers",126,"New Orleans Pelicans",99,14,19,14
