"team","id"
"Atlanta Hawks",1
"Boston Celtics",2
"Charlotte Hornets",3
"Chicago Bulls",4
"Cleveland Cavaliers",5
"Dallas Mavericks",6
"Denver Nuggets",7
"Detroit Pistons",8
"Golden State Warriors",9
"Houston Rockets",10
"Indiana Pacers",11
"Los Angeles Clippers",12
"Los Angeles Lakers",13
"Miami Heat",14
"Milwaukee Bucks",15
"New Jersey Nets",16
"New York Knicks",17
"Philadelphia 76ers",18
"Phoenix Suns",19
"Portland Trail Blazers",20
"Sacramento Kings",21
"San Antonio Spurs",22
"Seattle SuperSonics",23
"Utah Jazz",24
"Washington Bullets",25
