"Date","HTeam","HScore","ATeam","AScore","hID","aID","win"
1986-10-31,"Washington Bullets",102,"Boston Celtics",120,23,2,2
1986-10-31,"Utah Jazz",77,"Dallas Mavericks",103,22,5,5
1986-10-31,"San Antonio Spurs",104,"Denver Nuggets",134,20,6,6
1986-10-31,"Milwaukee Bucks",120,"Detroit Pistons",104,13,7,13
1986-10-31,"Indiana Pacers",104,"Philadelphia 76ers",108,10,16,16
1986-10-31,"Golden State Warriors",123,"Phoenix Suns",127,8,17,17
1986-10-31,"Seattle SuperSonics",127,"Portland Trail Blazers",110,21,18,21
1986-10-31,"Los Angeles Clippers",106,"Sacramento Kings",107,11,19,19
1986-10-31,"New York Knicks",97,"New Jersey Nets",108,15,14,14
1986-11-01,"New Jersey Nets",111,"Atlanta Hawks",131,14,1,1
1986-11-01,"Washington Bullets",106,"Cleveland Cavaliers",113,23,4,4
1986-11-01,"Denver Nuggets",109,"Golden State Warriors",131,6,8,8
1986-11-01,"Los Angeles Lakers",102,"Houston Rockets",112,12,9,9
1986-11-01,"Detroit Pistons",89,"Indiana Pacers",92,7,10,10
1986-11-01,"Phoenix Suns",111,"Los Angeles Clippers",117,17,11,11
1986-11-01,"Boston Celtics",105,"Milwaukee Bucks",111,2,13,13
1986-11-01,"Chicago Bulls",108,"New York Knicks",103,3,15,3
1986-11-01,"Dallas Mavericks",105,"San Antonio Spurs",108,5,20,20
1986-11-01,"Sacramento Kings",103,"Seattle SuperSonics",114,19,21,21
1986-11-01,"Portland Trail Blazers",110,"Utah Jazz",119,18,22,22
1986-11-02,"Chicago Bulls",94,"Cleveland Cavaliers",89,3,4,3
1986-11-02,"Atlanta Hawks",122,"Philadelphia 76ers",113,1,16,1
1986-11-03,"New York Knicks",95,"Golden State Warriors",104,15,8,8
1986-11-04,"Milwaukee Bucks",98,"Atlanta Hawks",107,13,1,1
1986-11-04,"San Antonio Spurs",104,"Chicago Bulls",111,20,3,3
1986-11-04,"Los Angeles Clippers",86,"Dallas Mavericks",118,11,5,5
1986-11-04,"New York Knicks",103,"Denver Nuggets",118,15,6,6
1986-11-04,"Philadelphia 76ers",121,"Indiana Pacers",125,16,10,10
1986-11-04,"Portland Trail Blazers",120,"Phoenix Suns",126,18,17,17
1986-11-04,"Houston Rockets",100,"Sacramento Kings",84,9,19,9
1986-11-04,"Los Angeles Lakers",110,"Seattle SuperSonics",96,12,21,12
1986-11-04,"New Jersey Nets",101,"Washington Bullets",102,14,23,23
1986-11-05,"Indiana Pacers",102,"Boston Celtics",133,10,2,2
1986-11-05,"Washington Bullets",85,"Detroit Pistons",109,23,7,7
1986-11-05,"Portland Trail Blazers",92,"Golden State Warriors",102,18,8,8
1986-11-05,"Milwaukee Bucks",101,"Philadelphia 76ers",107,13,16,16
1986-11-05,"Cleveland Cavaliers",95,"Utah Jazz",111,4,22,22
1986-11-05,"San Antonio Spurs",112,"New Jersey Nets",103,20,14,20
1986-11-06,"Utah Jazz",121,"Denver Nuggets",135,22,6,6
1986-11-06,"Los Angeles Clippers",104,"Houston Rockets",97,11,9,11
1986-11-06,"New York Knicks",106,"Sacramento Kings",95,15,19,15
1986-11-06,"Dallas Mavericks",147,"Seattle SuperSonics",124,5,21,5
1986-11-07,"Phoenix Suns",86,"Atlanta Hawks",106,17,1,1
1986-11-07,"Chicago Bulls",109,"Detroit Pistons",115,3,7,7
1986-11-07,"Cleveland Cavaliers",115,"Golden State Warriors",114,4,8,4
1986-11-07,"Denver Nuggets",116,"Los Angeles Lakers",138,6,12,12
1986-11-07,"San Antonio Spurs",97,"Philadelphia 76ers",114,20,16,16
1986-11-07,"Dallas Mavericks",113,"Portland Trail Blazers",120,5,18,18
1986-11-07,"Boston Celtics",88,"Washington Bullets",86,2,23,2
1986-11-07,"Milwaukee Bucks",115,"New Jersey Nets",94,13,14,13
1986-11-08,"Washington Bullets",91,"Atlanta Hawks",110,23,1,1
1986-11-08,"Phoenix Suns",96,"Chicago Bulls",101,17,3,3
1986-11-08,"Sacramento Kings",90,"Houston Rockets",102,19,9,9
1986-11-08,"San Antonio Spurs",97,"Indiana Pacers",130,20,10,10
1986-11-08,"Cleveland Cavaliers",100,"Los Angeles Clippers",93,4,11,4
1986-11-08,"Detroit Pistons",89,"Milwaukee Bucks",103,7,13,13
1986-11-08,"New York Knicks",102,"Seattle SuperSonics",105,15,21,21
1986-11-09,"New York Knicks",88,"Los Angeles Lakers",111,15,12,12
1986-11-09,"Philadelphia 76ers",125,"Portland Trail Blazers",119,16,18,16
1986-11-11,"Atlanta Hawks",110,"Chicago Bulls",112,1,3,3
1986-11-11,"San Antonio Spurs",95,"Houston Rockets",116,20,9,9
1986-11-11,"Denver Nuggets",112,"Los Angeles Clippers",115,6,11,11
1986-11-11,"Indiana Pacers",94,"Milwaukee Bucks",102,10,13,13
1986-11-11,"Phoenix Suns",105,"New York Knicks",111,17,15,15
1986-11-11,"Golden State Warriors",108,"Portland Trail Blazers",126,8,18,18
1986-11-11,"Cleveland Cavaliers",114,"Sacramento Kings",119,4,19,19
1986-11-11,"Philadelphia 76ers",121,"Seattle SuperSonics",114,16,21,16
1986-11-11,"Dallas Mavericks",103,"Utah Jazz",104,5,22,22
1986-11-11,"Boston Celtics",110,"New Jersey Nets",114,2,14,14
1986-11-12,"Milwaukee Bucks",116,"Boston Celtics",124,13,2,2
1986-11-12,"Houston Rockets",85,"Dallas Mavericks",114,9,5,5
1986-11-12,"Sacramento Kings",110,"Denver Nuggets",108,19,6,19
1986-11-12,"Phoenix Suns",100,"Detroit Pistons",108,17,7,7
1986-11-12,"Seattle SuperSonics",97,"Los Angeles Lakers",122,21,12,12
1986-11-12,"Chicago Bulls",99,"Washington Bullets",101,3,23,23
1986-11-13,"Philadelphia 76ers",104,"Golden State Warriors",112,16,8,8
1986-11-13,"Cleveland Cavaliers",102,"San Antonio Spurs",115,4,20,20
1986-11-13,"Los Angeles Clippers",113,"Utah Jazz",130,11,22,22
1986-11-13,"Indiana Pacers",120,"New Jersey Nets",117,10,14,10
1986-11-14,"Boston Celtics",110,"Chicago Bulls",98,2,3,2
1986-11-14,"Dallas Mavericks",138,"Denver Nuggets",142,5,6,6
1986-11-14,"Atlanta Hawks",105,"Detroit Pistons",100,1,7,1
1986-11-14,"New York Knicks",103,"Milwaukee Bucks",106,15,13,13
1986-11-14,"Philadelphia 76ers",97,"Phoenix Suns",127,16,17,17
1986-11-14,"Los Angeles Clippers",109,"Portland Trail Blazers",119,11,18,18
1986-11-15,"Cleveland Cavaliers",96,"Dallas Mavericks",111,4,5,5
1986-11-15,"Boston Celtics",118,"Detroit Pistons",111,2,7,2
1986-11-15,"Seattle SuperSonics",127,"Golden State Warriors",121,21,8,21
1986-11-15,"Milwaukee Bucks",103,"Indiana Pacers",104,13,10,10
1986-11-15,"Washington Bullets",97,"New York Knicks",104,23,15,15
1986-11-15,"Phoenix Suns",116,"San Antonio Spurs",109,17,20,17
1986-11-15,"Denver Nuggets",103,"Utah Jazz",111,6,22,22
1986-11-15,"Atlanta Hawks",109,"New Jersey Nets",90,1,14,1
1986-11-16,"Cleveland Cavaliers",106,"Houston Rockets",134,4,9,9
1986-11-16,"Philadelphia 76ers",103,"Los Angeles Clippers",90,16,11,16
1986-11-16,"Sacramento Kings",111,"Los Angeles Lakers",113,19,12,12
1986-11-16,"Utah Jazz",103,"Portland Trail Blazers",124,22,18,18
1986-11-16,"Indiana Pacers",111,"Washington Bullets",124,10,23,23
1986-11-18,"Los Angeles Lakers",114,"Dallas Mavericks",110,12,5,12
1986-11-18,"New Jersey Nets",112,"Denver Nuggets",125,14,6,6
1986-11-18,"Portland Trail Blazers",115,"Houston Rockets",111,18,9,18
1986-11-18,"Indiana Pacers",98,"Los Angeles Clippers",93,10,11,10
1986-11-18,"Golden State Warriors",85,"Milwaukee Bucks",111,8,13,13
1986-11-18,"Sacramento Kings",105,"Seattle SuperSonics",119,19,21,21
1986-11-19,"Atlanta Hawks",107,"Boston Celtics",111,1,2,2
1986-11-19,"Golden State Warriors",112,"Cleveland Cavaliers",104,8,4,8
1986-11-19,"New York Knicks",94,"Philadelphia 76ers",98,15,16,16
1986-11-19,"New Jersey Nets",101,"Phoenix Suns",111,14,17,17
1986-11-19,"Los Angeles Lakers",117,"San Antonio Spurs",108,12,20,12
1986-11-19,"Detroit Pistons",105,"Washington Bullets",119,7,23,23
1986-11-20,"Cleveland Cavaliers",89,"Atlanta Hawks",108,4,1,1
1986-11-20,"Portland Trail Blazers",128,"Denver Nuggets",142,18,6,6
1986-11-20,"Utah Jazz",90,"Houston Rockets",104,22,9,9
1986-11-20,"Dallas Mavericks",113,"Los Angeles Clippers",108,5,11,5
1986-11-20,"Indiana Pacers",83,"Sacramento Kings",92,10,19,19
1986-11-20,"Milwaukee Bucks",116,"Seattle SuperSonics",105,13,21,13
1986-11-21,"Golden State Warriors",120,"Boston Celtics",135,8,2,2
1986-11-21,"New York Knicks",99,"Chicago Bulls",101,15,3,3
1986-11-21,"New Jersey Nets",95,"Los Angeles Lakers",111,14,12,12
1986-11-21,"Detroit Pistons",120,"Philadelphia 76ers",110,7,16,7
1986-11-21,"Dallas Mavericks",130,"Phoenix Suns",122,5,17,5
1986-11-21,"San Antonio Spurs",114,"Portland Trail Blazers",127,20,18,18
