"Date","HTeam","HScore","ATeam","AScore","hID","aID","win"
2017-10-17,"Boston Celtics",99,"Cleveland Cavaliers",102,2,6,6
2017-10-17,"Houston Rockets",122,"Golden State Warriors",121,11,10,11
2017-10-18,"Charlotte Hornets",90,"Detroit Pistons",102,4,9,9
2017-10-18,"Brooklyn Nets",131,"Indiana Pacers",140,3,12,12
2017-10-18,"Miami Heat",109,"Orlando Magic",116,16,22,22
2017-10-18,"Philadelphia 76ers",115,"Washington Wizards",120,23,30,30
2017-10-18,"Milwaukee Bucks",108,"Boston Celtics",100,17,2,17
2017-10-18,"New Orleans Pelicans",91,"Memphis Grizzlies",103,19,15,15
2017-10-18,"Atlanta Hawks",117,"Dallas Mavericks",111,1,7,1
2017-10-18,"Denver Nuggets",96,"Utah Jazz",106,8,29,29
2017-10-18,"Minnesota Timberwolves",99,"San Antonio Spurs",107,18,27,27
2017-10-18,"Portland Trail Blazers",124,"Phoenix Suns",76,25,24,25
2017-10-18,"Houston Rockets",105,"Sacramento Kings",100,11,26,11
2017-10-19,"Chicago Bulls",100,"Toronto Raptors",117,5,28,28
2017-10-19,"New York Knicks",84,"Oklahoma City Thunder",105,20,21,21
2017-10-19,"Los Angeles Clippers",108,"Los Angeles Lakers",92,13,14,13
2017-10-20,"Atlanta Hawks",91,"Charlotte Hornets",109,1,4,4
2017-10-20,"Portland Trail Blazers",114,"Indiana Pacers",96,25,12,25
2017-10-20,"Cleveland Cavaliers",116,"Milwaukee Bucks",97,6,17,6
2017-10-20,"Boston Celtics",102,"Philadelphia 76ers",92,2,23,2
2017-10-20,"Detroit Pistons",111,"Washington Wizards",115,9,30,30
2017-10-20,"Orlando Magic",121,"Brooklyn Nets",126,22,3,3
2017-10-20,"Utah Jazz",97,"Minnesota Timberwolves",100,29,18,18
2017-10-20,"Sacramento Kings",93,"Dallas Mavericks",88,26,7,26
2017-10-20,"Golden State Warriors",128,"New Orleans Pelicans",120,10,19,10
2017-10-20,"Los Angeles Lakers",132,"Phoenix Suns",130,14,24,14
2017-10-21,"Philadelphia 76ers",94,"Toronto Raptors",128,23,28,28
2017-10-21,"San Antonio Spurs",87,"Chicago Bulls",77,27,5,27
2017-10-21,"Orlando Magic",114,"Cleveland Cavaliers",93,22,6,22
2017-10-21,"Dallas Mavericks",91,"Houston Rockets",107,7,11,11
2017-10-21,"Golden State Warriors",101,"Memphis Grizzlies",111,10,15,15
2017-10-21,"Indiana Pacers",108,"Miami Heat",112,12,16,16
2017-10-21,"Detroit Pistons",111,"New York Knicks",107,9,20,9
2017-10-21,"Portland Trail Blazers",110,"Milwaukee Bucks",113,25,17,17
2017-10-21,"Sacramento Kings",79,"Denver Nuggets",96,26,8,8
2017-10-21,"Oklahoma City Thunder",87,"Utah Jazz",96,21,29,29
2017-10-21,"Phoenix Suns",88,"Los Angeles Clippers",130,24,13,13
2017-10-22,"Atlanta Hawks",104,"Brooklyn Nets",116,1,3,3
2017-10-22,"Minnesota Timberwolves",115,"Oklahoma City Thunder",113,18,21,18
2017-10-22,"New Orleans Pelicans",119,"Los Angeles Lakers",112,19,14,19
2017-10-23,"Philadelphia 76ers",97,"Detroit Pistons",86,23,9,23
2017-10-23,"Atlanta Hawks",93,"Miami Heat",104,1,16,16
2017-10-23,"Memphis Grizzlies",98,"Houston Rockets",90,15,11,15
2017-10-23,"Charlotte Hornets",94,"Milwaukee Bucks",103,4,17,17
2017-10-23,"Golden State Warriors",133,"Dallas Mavericks",103,10,7,10
2017-10-23,"Toronto Raptors",97,"San Antonio Spurs",101,28,27,27
2017-10-23,"Washington Wizards",109,"Denver Nuggets",104,30,8,30
2017-10-23,"Sacramento Kings",115,"Phoenix Suns",117,26,24,24
2017-10-24,"Chicago Bulls",112,"Cleveland Cavaliers",119,5,6,6
2017-10-24,"Brooklyn Nets",121,"Orlando Magic",125,3,22,22
2017-10-24,"New York Knicks",89,"Boston Celtics",110,20,2,2
2017-10-24,"Indiana Pacers",130,"Minnesota Timberwolves",107,12,18,12
2017-10-24,"New Orleans Pelicans",93,"Portland Trail Blazers",103,19,25,25
2017-10-24,"Utah Jazz",84,"Los Angeles Clippers",102,29,13,13
2017-10-25,"Denver Nuggets",93,"Charlotte Hornets",110,8,4,4
2017-10-25,"Minnesota Timberwolves",101,"Detroit Pistons",122,18,9,9
2017-10-25,"Houston Rockets",105,"Philadelphia 76ers",104,11,23,11
2017-10-25,"Cleveland Cavaliers",107,"Brooklyn Nets",112,6,3,3
2017-10-25,"San Antonio Spurs",117,"Miami Heat",100,27,16,27
2017-10-25,"Indiana Pacers",96,"Oklahoma City Thunder",114,12,21,21
2017-10-25,"Memphis Grizzlies",94,"Dallas Mavericks",103,15,7,7
2017-10-25,"Utah Jazz",88,"Phoenix Suns",97,29,24,24
2017-10-25,"Toronto Raptors",112,"Golden State Warriors",117,28,10,10
2017-10-25,"Washington Wizards",99,"Los Angeles Lakers",102,30,14,14
2017-10-26,"Atlanta Hawks",86,"Chicago Bulls",91,1,5,5
2017-10-26,"Dallas Mavericks",91,"Memphis Grizzlies",96,7,15,15
2017-10-26,"Boston Celtics",96,"Milwaukee Bucks",89,2,17,2
2017-10-26,"Los Angeles Clippers",104,"Portland Trail Blazers",103,13,25,13
